CLIENTE;MES;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
C00001;01/02/2014;<=10;0;0;<24, 48;244.86;0;245.26;3/02/2014;15;3816.34;BT;1/01/2012;1;COEF
C00002;01/02/2014;<=10;0;0;>48;610.58;612.69;611.54;18/02/2014;9;13620.5;BT;1/01/2012;1;COEF
C00003;01/02/2014;<=10;>0;0;<24, 48;2138.73;0;0;5/02/2014;16;18968.5;BT;1/01/2013;0;CNE
C00004;01/02/2014;>10;0;0;<24, 48;323.07;46.85;74.26;24/02/2014;19;2459.84;BT;1/01/2012;0;CNE
C00005;01/02/2014;<=10;0;0;<24, 48;920.54;0;0;12/02/2014;14;6591.76;BT;1/01/2013;0;CNE
C00006;01/02/2014;<=10;0;0;<24, 48;364.27;371.11;0;6/02/2014;7;9836.38;BT;1/01/2013;1;CNE
C00007;01/02/2014;<=10;0;0;>48;692.77;287.31;718.96;5/02/2014;16;26889.9;BT;1/01/2013;1;CNE
C00008;01/02/2014;>10;0;0;>48;364.24;728.67;366.12;12/02/2014;9;5491.04;BT;1/01/2011;1;CNE
C00009;01/02/2014;<=10;0;0;>48;492.95;0;492.97;10/02/2014;11;14985.3;BT;1/01/2013;1;COEF
C00011;01/02/2014;>10;0;0;>48;653.41;648.31;670.51;4/02/2014;12;18148.1;BT;1/01/2010;1;CNE
C00012;01/02/2014;>10;0;0;<24, 48;548.02;555.44;521.46;6/02/2014;10;15415.1;BT;1/01/2012;1;COEF
C00014;01/02/2014;<=10;0;0;<24, 48;839.04;1401.76;0;12/02/2014;20;9155.2;BT;1/01/2012;1;CNE
C00015;01/02/2014;<=10;0;0;<24, 48;70.64;0;0;4/02/2014;14;4876.47;BT;1/01/2013;1;CNE
C00016;01/02/2014;<=10;>0;0;<24, 48;113.25;211.33;212.62;26/02/2014;9;3146.65;BT;1/01/2012;1;CNE
C00017;01/02/2014;<=10;0;0;<24, 48;693.22;693.66;0;17/02/2014;11;18535;BT;1/01/2012;1;COEF
C00018;01/02/2014;<=10;0;0;>48;1056.91;0;0;7/02/2014;10;1058.03;BT;1/01/2013;0;CNE
C00019;01/02/2014;<=10;0;0;<=24;466.27;467.04;0;6/02/2014;12;3791.15;BT;1/01/2012;1;CNE
C00020;01/02/2014;<=10;0;0;>48;1259.75;1897.53;0;28/02/2014;9;14389.9;BT;1/01/2012;0;CNE
C00021;01/02/2014;>10;0;0;<24, 48;240.04;240.79;240.57;18/02/2014;7;3632.16;BT;1/01/2012;1;COEF
C00022;01/02/2014;<=10;0;0;<24, 48;207.24;206.08;0;19/02/2014;10;3242.09;BT;1/01/2012;1;CNE
C00023;01/02/2014;<=10;0;0;<24, 48;409.98;405.26;422.27;10/02/2014;18;9710.75;BT;1/01/2013;1;COEF
C00024;01/02/2014;<=10;0;0;>48;786.41;0;0;5/02/2014;12;9094.24;BT;1/01/2011;1;CNE
C00025;01/02/2014;>10;0;0;<24, 48;363.14;363.14;363.01;4/02/2014;7;4178.66;BT;1/01/2012;1;CNE
C00026;01/02/2014;>10;0;0;<24, 48;381.31;302.27;722.14;3/02/2014;16;15190.9;BT;1/01/2012;1;CNE
C00027;01/02/2014;<=10;0;0;<=24;42.21;0;0;4/02/2014;7;25554.3;BT;1/01/2013;1;CNE
C00028;01/02/2014;>10;0;0;<24, 48;1650.64;0;0;25/02/2014;19;9615.35;BT;1/01/2010;0;CNE
C00029;01/02/2014;>10;0;0;>48;386.09;0;0;3/02/2014;10;8609.38;BT;1/01/2012;1;COEF
C00030;01/02/2014;<=10;0;0;>48;127.69;442.95;448.54;24/02/2014;7;4628.75;BT;1/01/2012;1;CNE
C00032;01/02/2014;<=10;0;0;<24, 48;529.65;1.69;526.97;17/02/2014;19;9901.73;BT;1/01/2013;1;CNE
C00033;01/02/2014;>10;0;0;>48;372.38;374.46;374.63;12/02/2014;10;5927.97;BT;1/01/2011;1;CNE
C00034;01/02/2014;<=10;0;0;<24, 48;441.63;1.17;0;6/02/2014;8;11045.9;BT;1/01/2012;1;CNE
C00036;01/02/2014;<=10;0;0;>48;607.85;0;189.48;4/02/2014;12;18166.6;BT;1/01/2013;1;CNE
C00037;01/02/2014;<=10;0;0;<24, 48;49.31;68.7;50.38;11/02/2014;16;24985.5;BT;1/01/2013;1;CNE
C00039;01/02/2014;<=10;0;0;<24, 48;2331.3;0;0;21/02/2014;16;20544.2;BT;1/01/2012;0;CNE
C00040;01/02/2014;>10;0;0;>48;1653.31;0;324.09;5/02/2014;18;55564.3;BT;1/01/2012;1;CNE
C00041;01/02/2014;>10;0;0;<24, 48;1420.84;1418.66;0;4/02/2014;12;25832.1;BT;1/01/2011;1;CNE
C00043;01/02/2014;<=10;0;0;<24, 48;1024.32;0;0;6/02/2014;13;21595;BT;1/01/2012;1;COEF
C00045;01/02/2014;>10;0;0;>48;759.69;762.5;682.64;20/02/2014;14;10334.2;BT;1/01/2011;1;CNE
C00046;01/02/2014;>10;>0;0;<24, 48;1671.58;0;0;7/02/2014;12;20898.2;BT;1/01/2012;0;CNE
C00047;01/02/2014;<=10;0;0;>48;191.69;699.62;0;11/02/2014;13;12211.5;BT;1/01/2012;1;CNE
C00049;01/02/2014;<=10;>0;0;>48;1451.22;0;423.1;6/02/2014;12;19821;BT;1/01/2013;0;CNE
C00050;01/02/2014;<=10;>0;0;<24, 48;1167.02;0;0;3/02/2014;10;4593.46;BT;1/01/2012;0;CNE
C00051;01/02/2014;>10;0;1;<24, 48;403.76;0;0;5/02/2014;16;6409.44;BT;1/01/2011;1;CNE
C00052;01/02/2014;<=10;0;0;>48;608.59;1209.62;614.19;20/02/2014;16;13666.8;BT;1/01/2012;1;CNE
C00054;01/02/2014;>10;0;0;>48;47.23;1397.87;0;18/02/2014;19;40331.9;BT;1/01/2012;1;CNE
C00055;01/02/2014;<=10;0;0;<24, 48;21.66;0;795.75;19/02/2014;10;15737;BT;1/01/2013;1;CNE
C00056;01/02/2014;>10;0;0;<24, 48;663.18;664.63;658.93;13/02/2014;9;13791.5;BT;1/01/2012;1;COEF
C00057;01/02/2014;<=10;0;0;>48;358.04;0;0;20/02/2014;9;5777.9;BT;1/01/2010;1;CNE
C00058;01/02/2014;>10;0;0;<24, 48;151.27;0;153.89;3/02/2014;15;1884.98;BT;1/01/2012;1;CNE
C00060;01/02/2014;<=10;>0;0;<=24;621.97;632.01;637.7;14/02/2014;17;621.3;BT;1/01/2013;0;COEF
C00061;01/02/2014;<=10;0;0;>48;408.37;1170.67;1165.31;13/02/2014;9;14789.7;BT;1/01/2011;1;CNE
C00062;01/02/2014;<=10;>0;0;<=24;47.29;0;0;19/02/2014;9;1731.19;BT;1/01/2012;1;COEF
C00064;01/02/2014;<=10;0;0;>48;332.77;0;333.15;11/02/2014;13;2994.43;BT;1/01/2010;1;CNE
C00065;01/02/2014;<=10;>0;0;>48;733.41;735.75;0;4/02/2014;16;16281.8;BT;1/01/2012;1;CNE
C00066;01/02/2014;>10;0;0;>48;1941.43;1.72;0;3/02/2014;10;66469.5;BT;1/01/2012;1;COEF
C00067;01/02/2014;<=10;0;0;<24, 48;131.7;263.74;264.18;24/02/2014;14;3090.25;BT;1/01/2013;1;CNE
C00069;01/02/2014;<=10;0;0;>48;2028.47;3047.2;0;11/02/2014;9;26481.1;BT;1/01/2013;1;COEF
C00071;01/02/2014;<=10;0;0;<24, 48;2305.97;0;0;28/02/2014;8;20515;BT;1/01/2013;0;CNE
C00072;01/02/2014;<=10;0;0;>48;1518.39;0;0;5/02/2014;19;22994.3;BT;1/01/2013;0;CNE
C00073;01/02/2014;>10;0;0;>48;715.94;0;357.28;13/02/2014;15;5443.86;BT;1/01/2011;0;COEF
C00074;01/02/2014;<=10;0;0;<24, 48;746.32;0;0;3/02/2014;18;16525.5;BT;1/01/2013;1;CNE
C00075;01/02/2014;<=10;>0;0;<24, 48;1569.31;0;0;11/02/2014;12;18654.2;BT;1/01/2012;0;CNE
C00077;01/02/2014;<=10;0;0;<24, 48;502.29;0;0;19/02/2014;8;13167.5;BT;1/01/2013;1;COEF
C00078;01/02/2014;>10;0;0;<24, 48;123.64;651.18;1095.72;11/02/2014;12;19009.7;BT;1/01/2011;1;COEF
C00080;01/02/2014;>10;0;0;>48;1642.75;0;0;6/02/2014;17;12496;BT;1/01/2012;0;CNE
C00081;01/02/2014;<=10;0;0;<24, 48;253.19;253;254.08;26/02/2014;16;2739.17;BT;1/01/2012;1;CNE
C00082;01/02/2014;>10;0;0;>48;457.07;922.7;1393.47;7/02/2014;14;10292.9;BT;1/01/2012;1;CNE
C00083;01/02/2014;>10;0;0;<24, 48;108.91;0;0;11/02/2014;7;1577.7;BT;1/01/2012;1;COEF
C00084;01/02/2014;<=10;>0;0;<24, 48;348.65;348.65;0;27/02/2014;8;4922.87;BT;1/01/2011;1;COEF
C00085;01/02/2014;<=10;0;0;<24, 48;230.48;228.77;232.68;6/02/2014;20;3037.76;BT;1/01/2012;1;COEF
C00087;01/02/2014;>10;0;0;<24, 48;321.87;198.05;228.74;5/02/2014;12;8117.28;BT;1/01/2011;1;CNE
C00088;01/02/2014;<=10;0;0;>48;859.02;1725.94;0;7/02/2014;9;24734.5;BT;1/01/2013;1;COEF
C00089;01/02/2014;>10;0;0;>48;120.89;120.97;121;12/02/2014;9;1486.35;BT;1/01/2011;1;CNE
C00090;01/02/2014;>10;0;0;<24, 48;266.61;0;0;6/02/2014;12;1034.77;BT;1/01/2011;1;COEF
C00091;01/02/2014;<=10;0;0;<24, 48;426.16;425.53;0;14/02/2014;11;2810.4;BT;1/01/2011;1;COEF
C00092;01/02/2014;<=10;0;0;<24, 48;1898.43;0;0;5/02/2014;16;12572.7;BT;1/01/2011;0;COEF
C00093;01/02/2014;>10;0;0;>48;366.64;366.16;362.61;4/02/2014;7;1042.37;BT;1/01/2011;1;COEF
C00094;01/02/2014;<=10;0;0;>48;461.3;460.51;0;13/02/2014;9;7044.12;BT;1/01/2011;1;CNE
C00095;01/02/2014;<=10;0;0;>48;1839.93;1899.59;0;5/02/2014;18;62973.1;BT;1/01/2013;1;CNE
C00096;01/02/2014;>10;>0;0;>48;455.28;0;0;14/02/2014;12;9310.3;BT;1/01/2012;1;COEF
C00099;01/02/2014;<=10;0;0;<24, 48;2540.53;0;0;7/02/2014;14;47253.7;BT;1/01/2011;1;CNE
C00100;01/02/2014;>10;0;0;>48;1494.37;1424.89;0;4/02/2014;17;51194.3;BT;1/01/2011;1;COEF
C00101;01/02/2014;<=10;0;0;>48;2447.99;0;137.21;4/02/2014;9;73059.9;BT;1/01/2013;1;COEF
C00102;01/02/2014;<=10;0;0;<24, 48;165.8;0;0;25/02/2014;10;14537.4;BT;1/01/2013;1;CNE
C00103;01/02/2014;<=10;>0;0;>48;2664.09;0;0;28/02/2014;20;49529.6;BT;1/01/2013;0;CNE
C00104;01/02/2014;>10;0;0;>48;138.89;108.32;0;3/02/2014;15;3990.31;BT;1/01/2011;1;CNE
C00105;01/02/2014;<=10;0;0;<24, 48;184.62;0;174;6/02/2014;8;5361.23;BT;1/01/2013;1;CNE
C00106;01/02/2014;<=10;0;0;>48;877.75;0.52;0;4/02/2014;14;25731.5;BT;1/01/2013;1;COEF
C00107;01/02/2014;<=10;0;0;<24, 48;2479.12;0;0;20/02/2014;17;24952.8;BT;1/01/2012;0;CNE
C00108;01/02/2014;<=10;0;0;<24, 48;438.61;0;0;4/02/2014;7;10213;BT;1/01/2012;1;COEF
C00109;01/02/2014;<=10;0;0;>48;1227.91;0;0;3/02/2014;8;45741;BT;1/01/2013;1;CNE
C00110;01/02/2014;<=10;0;0;>48;317.91;0;358.43;25/02/2014;8;6662.66;BT;1/01/2012;1;CNE
C00111;01/02/2014;<=10;0;0;<=24;315.33;633.91;956.46;11/02/2014;9;3196.97;BT;1/01/2013;1;CNE
C00112;01/02/2014;<=10;>0;0;>48;1219.04;0;0;27/02/2014;7;4069.57;BT;1/01/2010;0;COEF
C00113;01/02/2014;<=10;0;0;>48;42.17;304.87;50.9;11/02/2014;15;5109.12;BT;1/01/2011;1;CNE
C00114;01/02/2014;<=10;0;0;<24, 48;990.14;0;0;12/02/2014;14;28213.8;BT;1/01/2013;1;CNE
C00116;01/02/2014;<=10;>0;0;<24, 48;301.82;82.91;303.95;14/02/2014;14;4285.29;BT;1/01/2012;1;CNE
C00117;01/02/2014;>10;>0;0;<24, 48;804.7;939.91;108.24;13/02/2014;16;22292;BT;1/01/2012;1;COEF
C00118;01/02/2014;<=10;0;0;<24, 48;636.92;638.95;1281.45;10/02/2014;7;16359.7;BT;1/01/2012;1;COEF
C00121;01/02/2014;<=10;0;0;<=24;630.6;636.63;0;20/02/2014;18;629.93;BT;1/01/2013;0;CNE
C00122;01/02/2014;<=10;0;0;<24, 48;775.63;772.88;1163.29;18/02/2014;19;4533.27;BT;1/01/2011;0;CNE
C00123;01/02/2014;>10;0;0;>48;435.02;434.94;0;18/02/2014;12;7286.48;BT;1/01/2011;1;CNE
C00124;01/02/2014;<=10;0;0;<24, 48;1409.41;0;0;21/02/2014;17;12255.2;BT;1/01/2013;0;CNE
C00125;01/02/2014;<=10;0;0;<24, 48;845.4;845.57;842.01;12/02/2014;16;11482.9;BT;1/01/2011;1;COEF
C00126;01/02/2014;<=10;0;0;<24, 48;38.64;0;0;5/02/2014;7;4879.99;BT;1/01/2013;1;COEF
C00128;01/02/2014;<=10;0;0;<24, 48;183.05;0;1443.78;7/02/2014;12;45493.5;BT;1/01/2013;1;COEF
C00129;01/02/2014;<=10;>0;0;<=24;1647.43;605.73;1218.41;12/02/2014;10;10177.2;BT;1/01/2013;0;COEF
C00130;01/02/2014;<=10;>0;0;>48;3133.46;0;0;28/02/2014;18;32661.3;BT;1/01/2013;0;CNE
C00131;01/02/2014;<=10;0;0;<24, 48;205.89;0;0;7/02/2014;9;10143.5;BT;1/01/2012;1;COEF
C00132;01/02/2014;<=10;0;0;<24, 48;777.96;777.4;0;19/02/2014;7;23721.2;BT;1/01/2013;1;COEF
C00133;01/02/2014;<=10;0;0;>48;168.29;0;0;5/02/2014;14;22581.8;BT;1/01/2013;1;CNE
C00135;01/02/2014;<=10;0;0;<24, 48;683.01;0;0;18/02/2014;12;16507.1;BT;1/01/2013;1;COEF
C00136;01/02/2014;>10;0;0;<24, 48;116.91;0;130.98;3/02/2014;15;1637.96;BT;1/01/2012;1;COEF
C00137;01/02/2014;<=10;0;0;<=24;506.22;0;0;3/02/2014;12;4218.25;BT;1/01/2013;1;COEF
C00139;01/02/2014;<=10;>0;0;<24, 48;248.47;329.63;164.38;27/02/2014;16;2891.52;BT;1/01/2012;0;COEF
C00141;01/02/2014;<=10;0;0;>48;310.15;506.6;0;11/02/2014;7;10440.7;BT;1/01/2012;1;COEF
C00142;01/02/2014;>10;0;0;>48;553.72;316.99;109.39;11/02/2014;7;18274.9;BT;1/01/2011;1;COEF
C00143;01/02/2014;<=10;0;0;>48;2587.07;0;0;5/02/2014;13;12707.2;BT;1/01/2011;0;CNE
C00145;01/02/2014;<=10;>0;0;<24, 48;356.02;356.02;0;18/02/2014;11;9343.63;BT;1/01/2013;1;COEF
C00146;01/02/2014;>10;0;0;>48;291.87;786.27;0;5/02/2014;17;17007.6;BT;1/01/2012;1;CNE
C00147;01/02/2014;<=10;>0;0;<=24;92.65;188.08;377.94;12/02/2014;9;2689.35;BT;1/01/2013;1;COEF
C00148;01/02/2014;<=10;0;0;<24, 48;261.01;257.8;0;3/02/2014;14;1191.74;BT;1/01/2011;1;CNE
C00150;01/02/2014;>10;0;0;<24, 48;197.49;2.12;186.62;17/02/2014;13;4601.97;BT;1/01/2012;1;COEF
C00151;01/02/2014;>10;0;0;<24, 48;397.36;0;0;6/02/2014;14;8023.8;BT;1/01/2012;1;CNE
C00152;01/02/2014;<=10;0;0;>48;196.64;0;313.34;3/02/2014;15;8184.78;BT;1/01/2013;1;COEF
C00154;01/02/2014;<=10;0;0;<=24;735.42;740.86;0;21/02/2014;19;734.65;BT;1/01/2013;0;CNE
C00155;01/02/2014;<=10;0;0;>48;566.45;0;0;7/02/2014;9;14458.9;BT;1/01/2012;1;COEF
C00157;01/02/2014;<=10;0;0;>48;407.92;0;0;25/02/2014;10;9920.25;BT;1/01/2013;0;CNE
C00158;01/02/2014;>10;0;0;<24, 48;276.88;0;0;3/02/2014;13;5718.96;BT;1/01/2011;1;COEF
